date,matchup,team,starter,strikeouts
2026-08-05,Tampa Bay Rays @ Colorado Rockies,Colorado Rockies,Tomoyuki Sugano,3
2026-08-05,Los Angeles Angels @ Baltimore Orioles,Los Angeles Angels,Reid Detmers,5
2026-08-05,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Trevor Rogers,9
2026-08-05,New York Mets @ Cleveland Guardians,New York Mets,Christian Scott,7
2026-08-05,New York Mets @ Cleveland Guardians,Cleveland Guardians,Tanner Bibee,10
2026-08-05,Athletics @ Cincinnati Reds,Athletics,Jacob Lopez,9
2026-08-05,Athletics @ Cincinnati Reds,Cincinnati Reds,Rhett Lowder,3
2026-08-05,Washington Nationals @ Philadelphia Phillies,Washington Nationals,Jake Irvin,3
2026-08-05,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Andrew Painter,4
2026-08-05,St. Louis Cardinals @ New York Yankees,St. Louis Cardinals,Andre Pallante,4
2026-08-05,St. Louis Cardinals @ New York Yankees,New York Yankees,Will Warren,5
2026-08-05,Chicago White Sox @ Boston Red Sox,Chicago White Sox,Sean Burke,4
2026-08-05,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Sonny Gray,8
2026-08-05,Miami Marlins @ Atlanta Braves,Miami Marlins,Eury Pérez,9
2026-08-05,Miami Marlins @ Atlanta Braves,Atlanta Braves,Bryce Elder,3
2026-08-05,Minnesota Twins @ Kansas City Royals,Minnesota Twins,Dean Kremer,2
2026-08-05,Minnesota Twins @ Kansas City Royals,Kansas City Royals,Noah Cameron,9
2026-08-05,Pittsburgh Pirates @ Milwaukee Brewers,Pittsburgh Pirates,Paul Skenes,6
2026-08-05,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Kyle Harrison,10
2026-08-05,San Diego Padres @ Arizona Diamondbacks,San Diego Padres,Casey Mize,1
2026-08-05,San Diego Padres @ Arizona Diamondbacks,Arizona Diamondbacks,Mitch Bratt,9
2026-08-05,Detroit Tigers @ Seattle Mariners,Detroit Tigers,Drew Anderson,0
2026-08-05,Detroit Tigers @ Seattle Mariners,Seattle Mariners,Bryan Woo,5
